Time [min];30-50;30-50;30-50;30-50;30-50;30-50;raw extr;raw extr;raw extr;raw extr;30-60;30-60;30-60;30-60;30-60;30-60;30-60;30-60;50;50;50;50;50;60;60;60;60;60;70;70;70;70;70;80;80;80;80;80
0;-0,035;-0,126;-0,191;-0,173;-0,451;-0,132;-0,235;-0,241;-0,244;-0,295;-0,281;-0,706;-0,145;-0,099;-0,139;-0,192;-0,1;-0,098;0,045;-0,004;0,011;0,036;0,005;0,073;-0,004;-0,024;-0,028;-0,235;-0,039;0,21;0,634;-0,062;-0,358;-0,197;0,273;0,25;-0,007;0,104
0,08;-0,05;-0,121;-0,188;-0,172;-0,44;-0,122;-0,234;-0,236;-0,239;-0,271;-0,254;-0,697;-0,144;-0,093;-0,132;-0,193;-0,112;-0,087;0,048;0,0007;0,013;0,047;0,01;0,078;-0,0001;-0,016;-0,024;-0,238;-0,033;0,229;0,658;-0,06;-0,354;-0,173;0,169;0,212;-0,002;0,162
0,17;-0,052;-0,123;-0,184;-0,162;-0,436;-0,123;-0,236;-0,235;-0,24;-0,287;-0,242;-0,693;-0,149;-0,103;-0,119;-0,161;-0,087;-0,103;0,059;0,003;0,017;0,042;0,019;0,083;0,003;-0,009;-0,019;-0,235;-0,028;0,239;0,648;-0,057;-0,344;-0,156;0,278;0,236;0,009;0,25
0,25;-0,053;-0,117;-0,187;-0,169;-0,44;-0,108;-0,234;-0,231;-0,234;-0,286;-0,244;-0,689;-0,132;-0,095;-0,123;-0,166;-0,094;-0,082;0,077;0,007;0,03;0,044;0,032;0,084;0,005;0,002;-0,012;-0,24;-0,036;0,236;0,69;-0,052;-0,343;-0,14;0,357;0,212;-0,022;0,289
0,33;-0,055;-0,116;-0,154;-0,16;-0,44;-0,101;-0,235;-0,228;-0,229;-0,278;-0,219;-0,682;-0,117;-0,08;-0,117;-0,144;-0,096;-0,094;0,067;0,012;0,027;0,046;0,041;0,087;0,009;0,002;0,019;-0,232;-0,034;0,238;0,689;-0,052;-0,335;-0,144;0,219;0,277;0,072;0,212
0,42;-0,052;-0,111;-0,166;-0,166;-0,438;-0,09;-0,228;-0,227;-0,226;-0,28;-0,19;-0,679;-0,119;-0,093;-0,111;-0,133;-0,107;-0,079;0,074;0,015;0,03;0,049;0,047;0,088;0,01;0,006;-0,003;-0,229;-0,032;0,249;0,696;-0,046;-0,34;-0,151;0,27;0,163;0,029;0,322
0,5;-0,046;-0,117;-0,177;-0,161;-0,436;-0,088;-0,224;-0,225;-0,226;-0,274;-0,23;-0,679;-0,122;-0,089;-0,11;-0,156;-0,091;-0,06;0,083;0,018;0,032;0,054;0,058;0,093;0,014;0,01;0,018;-0,224;-0,028;0,247;0,712;-0,047;-0,335;-0,128;0,303;0,292;0,02;0,247
0,58;-0,048;-0,116;-0,17;-0,159;-0,431;-0,083;-0,222;-0,222;-0,223;-0,269;-0,211;-0,666;-0,124;-0,075;-0,109;-0,121;-0,084;-0,05;0,081;0,025;0,035;0,068;0,063;0,099;0,015;0,015;0,008;-0,223;-0,029;0,259;0,731;-0,036;-0,329;-0,109;0,289;0,242;0,024;0,32
0,67;-0,04;-0,111;-0,166;-0,158;-0,432;-0,089;-0,22;-0,219;-0,215;-0,266;-0,208;-0,661;-0,116;-0,086;-0,075;-0,15;-0,054;-0,055;0,088;0,029;0,04;0,067;0,07;0,101;0,018;0,022;0,01;-0,216;-0,02;0,259;0,717;-0,035;-0,331;-0,106;0,318;0,281;0,075;0,302
0,75;-0,046;-0,086;-0,171;-0,147;-0,428;-0,084;-0,217;-0,218;-0,216;-0,263;-0,244;-0,659;-0,094;-0,077;-0,113;-0,141;-0,071;-0,068;0,091;0,032;0,044;0,068;0,072;0,105;0,025;0,026;0,016;-0,205;-0,017;0,26;0,758;-0,028;-0,323;-0,089;0,339;0,297;0,062;0,287
0,83;-0,037;-0,099;-0,167;-0,144;-0,425;-0,081;-0,217;-0,217;-0,214;-0,259;-0,194;-0,663;-0,077;-0,093;-0,087;-0,127;-0,036;-0,066;0,102;0,037;0,049;0,073;0,079;0,108;0,025;0,033;0,02;-0,226;-0,017;0,27;0,742;-0,028;-0,32;-0,097;0,307;0,2;0,086;0,347
0,92;-0,048;-0,094;-0,166;-0,139;-0,423;-0,077;-0,206;-0,213;-0,207;-0,256;-0,206;-0,664;-0,104;-0,07;-0,092;-0,107;-0,065;-0,069;0,099;0,043;0,053;0,078;0,084;0,114;0,029;0,039;0,025;-0,227;-0,014;0,274;0,765;-0,022;-0,316;-0,077;0,423;0,383;0,091;0,412
1;-0,048;-0,087;-0,163;-0,141;-0,42;-0,081;-0,21;-0,212;-0,204;-0,258;-0,193;-0,652;-0,107;-0,052;-0,08;-0,124;-0,053;-0,047;0,107;0,044;0,058;0,084;0,089;0,118;0,032;0,046;0,03;-0,229;-0,014;0,276;0,79;-0,018;-0,307;-0,091;0,367;0,389;0,127;0,339
1,08;-0,047;-0,089;-0,156;-0,139;-0,42;-0,066;-0,209;-0,211;-0,2;-0,254;-0,196;-0,65;-0,084;-0,073;-0,075;-0,086;-0,061;-0,05;0,113;0,048;0,062;0,088;0,094;0,123;0,035;0,051;0,034;-0,23;-0,008;0,289;0,829;-0,011;-0,304;-0,041;0,352;0,256;0,157;0,334
1,17;-0,042;-0,079;-0,153;-0,134;-0,42;-0,07;-0,209;-0,208;-0,202;-0,247;-0,181;-0,64;-0,097;-0,033;-0,064;-0,107;-0,021;-0,044;0,118;0,051;0,066;0,092;0,101;0,125;0,037;0,054;0,039;-0,225;-0,004;0,289;0,817;-0,007;-0,303;-0,045;0,373;0,222;0,13;0,481
1,25;-0,038;-0,085;-0,153;-0,134;-0,415;-0,076;-0,207;-0,203;-0,198;-0,231;-0,187;-0,644;-0,078;-0,063;-0,048;-0,114;-0,049;-0,032;0,123;0,056;0,069;0,1;0,104;0,129;0,04;0,06;0,043;-0,227;0,001;0,308;0,8;-0,007;-0,295;-0,059;0,348;0,278;0,173;0,35
1,33;-0,041;-0,078;-0,149;-0,136;-0,411;-0,063;-0,205;-0,207;-0,196;-0,228;-0,151;-0,638;-0,082;-0,06;-0,062;-0,094;-0,026;-0,034;0,127;0,062;0,077;0,104;0,111;0,133;0,042;0,07;0,049;-0,227;0,003;0,306;0,826;0,002;-0,289;-0,037;0,366;0,209;0,075;0,446
1,42;-0,042;-0,061;-0,146;-0,131;-0,407;-0,057;-0,204;-0,204;-0,194;-0,221;-0,158;-0,635;-0,072;-0,041;-0,042;-0,128;-0,036;-0,05;0,131;0,066;0,081;0,112;0,116;0,139;0,044;0,073;0,053;-0,23;0,003;0,304;0,838;0,009;-0,289;-0,013;0,318;0,232;0,102;0,45
1,5;-0,031;-0,069;-0,142;-0,132;-0,408;-0,07;-0,202;-0,203;-0,193;-0,22;-0,154;-0,632;-0,09;-0,039;-0,042;-0,114;-0,021;-0,002;0,133;0,073;0,084;0,117;0,121;0,142;0,045;0,078;0,059;-0,23;0,013;0,307;0,839;0,0008;-0,28;0,013;0,456;0,277;0,164;0,471
1,58;-0,038;-0,059;-0,135;-0,125;-0,405;-0,066;-0,2;-0,199;-0,187;-0,216;-0,145;-0,623;-0,063;-0,056;-0,038;-0,118;-0,018;-0,031;0,135;0,075;0,087;0,121;0,127;0,147;0,049;0,085;0,062;-0,23;0,011;0,329;0,845;0,017;-0,279;0,017;0,446;0,305;0,207;0,535
1,67;-0,037;-0,049;-0,128;-0,116;-0,402;-0,05;-0,197;-0,201;-0,19;-0,216;-0,114;-0,619;-0,071;-0,05;-0,041;-0,095;-0,016;-0,02;0,141;0,079;0,092;0,129;0,133;0,15;0,053;0,091;0,068;-0,232;0,016;0,331;0,845;0,017;-0,276;0,017;0,407;0,328;0,142;0,917
1,75;-0,031;-0,047;-0,126;-0,119;-0,4;-0,05;-0,2;-0,199;-0,187;-0,214;-0,153;-0,621;-0,053;-0,015;-0,04;-0,102;-0,031;-0,008;0,146;0,082;0,097;0,135;0,139;0,156;0,054;0,097;0,073;-0,233;0,009;0,34;0,88;0,023;-0,274;0,049;0,646;0,266;0,202;0,414
1,83;-0,028;-0,049;-0,126;-0,116;-0,397;-0,052;-0,197;-0,195;-0,183;-0,212;-0,081;-0,605;-0,06;-0,02;-0,037;-0,083;-0,014;0,004;0,154;0,086;0,099;0,14;0,145;0,16;0,058;0,104;0,078;-0,235;0,015;0,342;0,901;0,026;-0,264;0,029;0,582;0,319;0,189;0,539
1,92;-0,028;-0,043;-0,12;-0,112;-0,396;-0,044;-0,191;-0,195;-0,178;-0,218;-0,125;-0,605;-0,056;-0,027;-0,028;-0,077;-0,016;0,002;0,162;0,092;0,103;0,147;0,154;0,164;0,061;0,108;0,084;-0,234;0,019;0,341;0,853;0,033;-0,261;0,043;0,471;0,391;0,146;0,505
2;-0,021;-0,038;-0,116;-0,112;-0,391;-0,05;-0,192;-0,193;-0,176;-0,215;-0,102;-0,604;-0,056;-0,022;-0,013;-0,052;-0,006;-0,005;0,165;0,097;0,108;0,149;0,159;0,166;0,062;0,113;0,086;-0,231;0,023;0,37;0,961;0,04;-0,254;0,045;0,496;0,318;0,213;0,878
2,08;-0,033;-0,039;-0,109;-0,124;-0,39;-0,04;-0,184;-0,193;-0,175;-0,211;-0,129;-0,612;-0,044;-0,017;-0,016;-0,039;-0,001;0,002;0,174;0,099;0,116;0,154;0,162;0,173;0,066;0,119;0,093;-0,229;0,019;0,363;0,918;0,047;-0,249;0,053;0,541;0,417;0,246;0,529
2,17;-0,026;-0,039;-0,113;-0,111;-0,388;-0,033;-0,182;-0,19;-0,179;-0,209;-0,109;-0,605;-0,048;0,005;-0,001;-0,081;-0,003;0,012;0,181;0,103;0,121;0,162;0,167;0,177;0,068;0,124;0,097;-0,23;0,027;0,351;0,953;0,048;-0,242;0,045;0,932;0,495;0,229;0,488
2,25;-0,011;-0,027;-0,111;-0,108;-0,386;-0,026;-0,181;-0,191;-0,174;-0,211;-0,122;-0,599;-0,027;0,006;-0,011;-0,048;0,001;0,011;0,183;0,112;0,121;0,166;0,171;0,182;0,07;0,13;0,101;-0,223;0,028;0,379;0,945;0,058;-0,233;0,141;0,532;0,438;0,311;0,711
2,33;-0,016;-0,025;-0,111;-0,11;-0,383;-0,021;-0,179;-0,187;-0,172;-0,207;-0,105;-0,588;-0,055;0,007;0,007;-0,085;-0,002;0,036;0,184;0,116;0,127;0,171;0,178;0,186;0,072;0,136;0,106;-0,225;0,036;0,373;0,983;0,059;-0,221;0,088;0,474;0,428;0,261;0,555
2,42;-0,015;-0,016;-0,104;-0,108;-0,382;-0,03;-0,179;-0,184;-0,169;-0,208;-0,108;-0,585;-0,013;-0,015;0,004;-0,072;-0,0006;0,049;0,191;0,118;0,131;0,176;0,183;0,191;0,076;0,141;0,11;-0,223;0,032;0,393;0,927;0,071;-0,217;0,12;0,372;0,516;0,26;0,646
2,5;-0,01;-0,015;-0,095;-0,107;-0,378;-0,022;-0,175;-0,182;-0,166;-0,206;-0,069;-0,586;-0,036;0,033;0,002;-0,054;0,023;0,03;0,194;0,121;0,136;0,183;0,189;0,2;0,078;0,147;0,116;-0,224;0,037;0,407;0,912;0,069;-0,218;0,054;0,556;0,469;0,292;0,589
2,58;-0,01;-0,01;-0,096;-0,091;-0,371;-0,026;-0,173;-0,184;-0,164;-0,207;-0,112;-0,575;-0,041;0,028;0,014;-0,039;0,025;0,055;0,202;0,126;0,14;0,188;0,194;0,205;0,084;0,155;0,12;-0,224;0,046;0,408;0,984;0,075;-0,209;0,108;0,548;0,556;0,235;0,504
2,67;-0,004;0,003;-0,086;-0,097;-0,369;-0,023;-0,171;-0,187;-0,161;-0,206;-0,109;-0,56;-0,005;0,046;0,006;-0,005;0,013;0,035;0,206;0,129;0,145;0,194;0,201;0,21;0,095;0,162;0,123;-0,222;0,049;0,406;0,928;0,082;-0,216;0,081;0,66;0,474;0,298;0,833
2,75;-0,006;-0,0006;-0,081;-0,095;-0,369;-0,021;-0,167;-0,18;-0,162;-0,203;-0,043;-0,572;0,001;0,03;0,018;-0,045;-0,002;0,054;0,209;0,136;0,151;0,2;0,205;0,214;0,091;0,165;0,128;-0,221;0,051;0,415;0,961;0,087;-0,204;0,146;0,458;0,536;0,345;0,782
2,83;-0,004;0,003;-0,067;-0,082;-0,368;-0,014;-0,161;-0,178;-0,158;-0,198;-0,077;-0,579;-0,003;0,031;0,017;-0,033;-0,003;0,038;0,214;0,14;0,154;0,206;0,211;0,218;0,089;0,17;0,134;-0,219;0,058;0,421;0,98;0,094;-0,205;0,112;0,713;0,432;0,291;0,636
2,92;0,009;0,006;-0,069;-0,089;-0,366;-0,018;-0,164;-0,174;-0,159;-0,198;-0,064;-0,569;-0,01;0,021;0,031;-0,043;0,021;0,034;0,218;0,144;0,159;0,212;0,216;0,223;0,094;0,175;0,136;-0,219;0,063;0,416;1,043;0,093;-0,194;0,108;0,527;0,41;0,231;0,607
3;0,004;0,021;-0,068;-0,085;-0,364;-0,013;-0,159;-0,172;-0,154;-0,198;-0,042;-0,562;-0,016;0,042;0,024;-0,04;0,035;0,064;0,225;0,148;0,164;0,219;0,222;0,229;0,097;0,18;0,14;-0,221;0,07;0,428;0,962;0,1;-0,19;0,166;0,535;0,458;0,328;0,512
3,08;0,012;0,015;-0,064;-0,083;-0,359;0,001;-0,156;-0,175;-0,148;-0,196;-0,062;-0,571;0,0002;0,034;0,04;-0,057;0,043;0,039;0,23;0,154;0,169;0,225;0,226;0,231;0,101;0,187;0,147;-0,221;0,07;0,442;1,003;0,109;-0,179;0,159;0,65;0,374;0,328;0,575
